Product1_ID,Product2_ID
746291,34832
3674258,34839
266133,34944
2075794,35140
2286564,35525
3462928,35623
1743812,35644
3277904,35658
2171897,35952
3656198,36036
744940,36113
2934960,36141
1394666,36302
436205,36491
2007922,36736
3526978,37051
883092,37128
2989357,37219
1685299,37352
1966965,37464
2568349,37478
1441272,37499
51282,37548
2390710,37597
43666,37604
2044441,37632
3052091,37758
1558774,37814
38248,37863
361865,38136
2898700,38248
3814356,38262
3773336,38339
2372776,38514
2974713,38521
3782660,38661
1191946,38731
1171870,38766
3641078,38808
2462236,39102
2561720,39214
278922,39347
3590895,39438
3752287,39578
2360890,39592
1983758,39655
304829,39690
3590531,39718
2924320,39830
3054765,39921
1890777,40068
843773,40152
3815049,40460
1598569,40586
3612644,40747
842842,40957
2257444,41006
1248604,41076
2423435,41167
388227,41475
2733822,41559
1147734,41601
1776082,41958
1940827,41965
688884,41979
2254644,42140
2922815,42413
2855902,42441
831194,42623
1270276,42700
833966,42868
439502,42924
1628340,43162
2286396,43316
2021544,43351
412370,43372
647892,43666
2480450,43925
2542428,43974
932834,44037
2094890,44093
2393888,44107
2764300,44149
3686753,44226
1477322,44282
449085,44359
2435860,44492
1635956,44499
1014279,44534
1303869,44779
1713845,44898
1327018,44961
2985108,45115
148463,45143
3279045,45206
1026795,45269
2846284,45283
2056649,45367
558915,45479
2249562,45556
3372068,45619
3697225,46046
2790571,46144
167636,46277
1248233,46312
2989357,46403
1264550,46487
1391719,46606
1843737,46683
1913667,46746
215362,46907
154693,47453
1364447,47656
663019,47663
1318002,47726
215943,47978
1579697,48069
888251,48251
2377403,48286
2984604,48300
2240567,48356
1955478,48699
2696022,48706
30415,48727
2693999,48741
1833370,48748
2284394,48783
1704465,48958
26691,48972
2678788,49077
2537745,49609
362313,49630
2786371,49791
1220835,49840
635831,49889
3321605,49938
641753,49945
646912,50078
3058832,50134
2066428,50295
1215109,50491
1106308,50575
840833,50631
352604,50834
1063307,51100
2969071,51156
3018463,51282
1792147,51541
3735725,51632
2089220,51842
266217,51947
1204378,51975
2330447,51982
2832466,52115
1588293,52318
1740732,52325
1666504,52514
3486392,52696
3360266,52843
402647,52864
2752596,52871
196602,52892
1776194,52948
3280417,53018
2542932,53137
1832747,53424
542297,53438
3473302,53606
1297695,53746
3530170,54061
3628933,54187
777434,54299
1110109,54320
3414572,54509
999257,54852
2170434,54873
1884533,55125
2155636,55132
2086798,55482
219485,55671
2922619,55818
2011268,55825
185871,56014
2579129,56329
3614877,56623
